request_id,project_id,request_text,source,created_at,urgency
R001,P001,エージェント実行ログをCSVで一括ダウンロードしたい,定例,2026-07-08,
R002,P001,MCP接続一覧をCSV出力して社内監査に回したい,定例,2026-07-10,高
R003,P002,監査ログをExcel形式でエクスポートできるようにしてほしい,問い合わせ,2026-07-09,
R004,P003,利用状況レポートをCSVで落としたい,定例,2026-07-11,
R005,P003,監査ログ画面からCSVエクスポートボタンが欲しい,定例,2026-07-13,
R006,P010,実行ログのCSV出力。列は日時・エージェント名・ツール名・結果で,問い合わせ,2026-07-12,
R007,P004,権限変更の履歴をCSVで取得したい,定例,2026-07-14,
R008,P008,トライアル中だがCSVエクスポートは必須。契約前に試したい,問い合わせ,2026-07-17,高
R009,P004,監査ログの検索が遅い。期間指定とインデックス改善を,定例,2026-07-07,
R010,P003,監査ログのフィルタ条件を保存したい,定例,2026-07-15,
R011,P004,監査ログ画面のレスポンス改善,問い合わせ,2026-07-16,
R012,P002,Slack連携で異常検知時だけ通知が欲しい,問い合わせ,2026-07-06,
R013,P005,エージェント一覧の並び替えが毎回リセットされる,問い合わせ,2026-07-18,
R014,P006,MCPサーバー登録時の権限テンプレートを選べるようにしたい,定例,2026-07-01,
R015,P006,部署ごとの権限テンプレートをプリセットで,定例,2026-07-02,
R016,P005,ダッシュボードの日本語ラベルを統一してほしい,定例,2026-06-20,
R017,P007,複数MCPサーバーをまとめて有効化する操作,定例,2026-07-22,
R018,P008,権限テンプレートのサンプルが欲しい。契約判断材料に,問い合わせ,2026-07-20,
R019,P009,Webhookでエージェント異常終了を即時通知したい,問い合わせ,2026-07-21,
R020,P001,来場者向けレポートのPDF出力,定例,2026-07-19,
R021,P010,一括有効化のロールバック操作が欲しい,定例,2026-07-23,
