project_id,project_name,period_start,period_end,annual_profit_yen,customer_rank,contract_status
P001,株式会社A,2025-04-01,2027-03-31,52000000,A,契約中
P002,株式会社B,2025-07-01,2026-06-30,38000000,A,契約中
P003,株式会社C,2025-10-01,2026-09-30,24000000,B,契約中
P004,株式会社D,2026-01-01,2026-12-31,18000000,B,契約中
P005,株式会社E,2026-02-01,2027-01-31,12000000,B,契約中
P006,株式会社F,2025-11-01,2026-10-31,8500000,C,契約中
P007,株式会社G,2026-03-01,2027-02-28,6200000,C,契約中
P008,株式会社H,2026-05-01,2027-04-30,4500000,C,契約未済
P009,株式会社I,2026-06-01,2027-05-31,3200000,C,契約未済
P010,株式会社J,2025-08-01,2026-07-31,28000000,B,契約中
